ières,Type,Teneur en alcool,Brasserie,brasserie,localité,province,Principales bières,Production annuelle en hl,Géolocalisation
Belgian Pêches,Fruitée,"3,5 %",Brasserie Lefebvre,Brasserie Lefebvre,Rebecq,Brabant wallon,"Barbar, Blanche de Bruxelles, Floreffe",,"50° 40′ 28,61″ N, 4° 09′ 07,67″ E"
Belgica IPA,,"7,9 %",Brasserie Strubbe,Brasserie Strubbe,Ichtegem,Flandre-Occidentale,"Strubbe Pils, Dikke Mathile, Houten Kop",,
Belgoo Arboo,"Triple, Ambrée","8,1 %",Brasserie La Binchoise pour la Brasserie Belgoobeer,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belgoo Magus,Blonde,"6,6 %",Brasserie La Binchoise pour la Brasserie Belgoobeer,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belgoo Maxus,Blonde dorée,"8,1 %",Brasserie La Binchoise pour la Brasserie Belgoobeer,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belgoo Luppoo,Blonde dorée,"6,5 %",Brasserie La Binchoise pour la Brasserie Belgoobeer,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bella Mère,Blonde,"6,5 %",Brasserie Millevertus,Brasserie Millevertus,Tintigny,Luxembourg,"Douce Vertus, Bella Mère, Mère Vertus",,"49° 41′ 43,01″ N, 5° 29′ 32,04″ E"
Belle Cies,Blonde,10 %,Huisebrouwerij Den Tseut,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belle-Fleur,India Pale Ale,6%,Brouwerij De Dochter van de Korenaar,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belle Pin-Up,Blonde,5 %,Brasserie L'Échappée Belle,Brasserie L'Échappée Belle,Villers-la-Ville,Brabant wallon,2016,,
Belle-Vue Framboise,Fruitée,"5,7 %",Brasserie Belle-Vue (InBev),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belle-Vue Extra Framboise,Fruitée,"2,9 %",Brasserie Belle-Vue (Inbev),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belle-Vue Kriek,Kriek,"5,2 %",Brasserie Belle-Vue (InBev),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belle-Vue Kriek Classique,Kriek,"5,1 %",Brasserie Belle-Vue (Inbev),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belle-Vue Extra Kriek,Kriek,"4,30%",Brasserie Belle-Vue (Inbev),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belle-Vue Gueuze,Lambic,"5,5 %",Brasserie Belle-Vue (Inbev),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belle-Vue LA,NA,1 %,Brasserie Belle-Vue (Inbev),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bellebière Amber,Ambrée,"5,2 %",Brasserie Van Steenberge pour Paeleman,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bellebière Dubbel,Brune,"6,2 %",Brasserie Van Steenberge pour Paeleman,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bellebière Trippel,Triple,8 %,Brasserie Van Steenberge pour Paeleman,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bellegems Bruin,Vieille brune,"5,5 %",Brasserie Bockor,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bellegems Witbier,Blanche,"5,0 %",Brasserie Bockor,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belval,Blonde,"4,8 %",Gageleer,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Berentemmer,Brune,7 %,Brasserie Maenhout,Brasserie Maenhout,Meulebeke,Flandre-Occidentale,Kroffel,,
Bersalis Tripel,"Blonde, Fermentation haute, Triple","9,5 %",Brasserie Huyghe pour la Brasserie Oud Beersel,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bersalis Kadet,Blonde,"4,5 %",Brasserie Huyghe pour la Brasserie Oud Beersel,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bertinchamps Blonde,Blonde,"6,2 %",Brasserie de Bertinchamps,Brasserie de Bertinchamps,Gembloux,Namur,Bertinchamps,,
Bertinchamps Brune,Brune,7 %,Brasserie de Bertinchamps,Brasserie de Bertinchamps,Gembloux,Namur,Bertinchamps,,
Bertinchamps Triple,Triple,8 %,Brasserie de Bertinchamps,Brasserie de Bertinchamps,Gembloux,Namur,Bertinchamps,,
Betchard Brune,Brune,7 %,Brasserie de Tubize,Brasserie de Tubize,Tubize,Brabant wallon,Bétchard,,"50° 41′ 54,64″ N, 4° 12′ 19,74″ E"
Betchard Blonde,Blonde,"5,5 %",Brasserie de Tubize,Brasserie de Tubize,Tubize,Brabant wallon,Bétchard,,"50° 41′ 54,64″ N, 4° 12′ 19,74″ E"
Bieken,Blonde,8 %,Brasserie Boelens,Brasserie Boelens,Saint-Nicolas,Flandre-Orientale,"Waase Wolf, Klok",,"51° 08′ 50,09″ N, 4° 05′ 19,78″ E"
Bierbeekse,"Blonde-ambrée, Fermentation haute","7,3 %",Brasserie Van Steenberge pour la commune de Bierbeek,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bierbuik,Brune,8 %,De Verhuisbrouwerij,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bière Darbyste,Ambrée,"5,8 %",Brasserie de Blaugies,Brasserie de Blaugies,Dour,Hainaut,"Darbyste, La Moneuse, Saison d'Épeautre",,"50° 21′ 29,76″ N, 3° 50′ 34,91″ E"
Bière de Beloeil,Fermentation haute,"8,5 %",Brasserie Dupont,Brasserie Dupont,Leuze-en-Hainaut,Hainaut,"Moinette, Saison Dupont",18 000,"50° 34′ 18,98″ N, 3° 39′ 02,29″ E"
Bière de Garde,"Bio, Rouge-brune",10 %,Brasserie Jessenhofke par la De Proefbrouwerij,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bière de Miel Bio,"Bio, Bière au miel",8 %,Brasserie Dupont,Brasserie Dupont,Leuze-en-Hainaut,Hainaut,"Moinette, Saison Dupont",18 000,"50° 34′ 18,98″ N, 3° 39′ 02,29″ E"
Bière des Ours (Berenbière),Bière au miel,"8,5 %",Brasserie La Binchoise,Brasserie La Binchoise,Binche,Hainaut,"Binchoise, Abbaye de Bonne Espérance",,"50° 24′ 29″ N, 4° 09′ 58″ E"
Bière du Corsaire Cuvée Spéciale,Blonde,"9,4 %",Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Bière du Mont Saint-Aubert,Blonde,8 %,Brasserie de Brunehaut,Brasserie de Brunehaut,Brunehaut,Hainaut,"Abbaye de Saint-Martin, Brunehaut",,"50° 30′ 39,96″ N, 3° 23′ 21,48″ E"
Bière Spéciale Belge,Spéciale,5 %,Brasserie La Binchoise,Brasserie La Binchoise,Binche,Hainaut,"Binchoise, Abbaye de Bonne Espérance",,"50° 24′ 29″ N, 4° 09′ 58″ E"
Big Bavik,Blonde,5 %,Brasserie Bavik,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Big Chouffe,Blonde,8%,Brasserie d'Achouffe (Brasserie Duvel Moortgat),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bierpruver Dubbel Bruin,Double,"7,5 %",Huisbrouwerij de 3 vaten,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bierpruver Tripel,Triple,9 %,Huisbrouwerij de 3 vaten,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bierpruver Winter,Bière de Noël,8 %,Huisbrouwerij de 3 vaten|-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
La Binchoise Blonde,"Fermentation haute, Blonde","6,2 %",Brasserie La Binchoise,Brasserie La Binchoise,Binche,Hainaut,"Binchoise, Abbaye de Bonne Espérance",,"50° 24′ 29″ N, 4° 09′ 58″ E"
La Binchoise Brune,Fermentation haute,"7,7 %",Brasserie La Binchoise,Brasserie La Binchoise,Binche,Hainaut,"Binchoise, Abbaye de Bonne Espérance",,"50° 24′ 29″ N, 4° 09′ 58″ E"
La Binchoise Organic’ Brune,"Fermentation haute, Bio",7 %,Brasserie La Binchoise,Brasserie La Binchoise,Binche,Hainaut,"Binchoise, Abbaye de Bonne Espérance",,"50° 24′ 29″ N, 4° 09′ 58″ E"
La Binchoise Organic’ Miel,"Fermentation haute, Bio, Bière au miel","8,5 %",Brasserie La Binchoise,Brasserie La Binchoise,Binche,Hainaut,"Binchoise, Abbaye de Bonne Espérance",,"50° 24′ 29″ N, 4° 09′ 58″ E"
La Binchoise Organic’ Triple,"Fermentation haute, Bio, Triple","8,5 %",Brasserie La Binchoise,Brasserie La Binchoise,Binche,Hainaut,"Binchoise, Abbaye de Bonne Espérance",,"50° 24′ 29″ N, 4° 09′ 58″ E"
La Binchoise Spéciale Noël,"Fermentation haute, Bière de Noël",9 %,Brasserie La Binchoise,Brasserie La Binchoise,Binche,Hainaut,"Binchoise, Abbaye de Bonne Espérance",,"50° 24′ 29″ N, 4° 09′ 58″ E"
La Binchoise Triple,"Fermentation haute, Triple","8,5 %",Brasserie La Binchoise,Brasserie La Binchoise,Binche,Hainaut,"Binchoise, Abbaye de Bonne Espérance",,"50° 24′ 29″ N, 4° 09′ 58″ E"
La Binchoise XO,Fermentation haute,12 %,Brasserie La Binchoise,Brasserie La Binchoise,Binche,Hainaut,"Binchoise, Abbaye de Bonne Espérance",,"50° 24′ 29″ N, 4° 09′ 58″ E"
Bink Blond,Ale,"5,5 %",Brasserie Cornelissen pour Brasserie Kerkom,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bink Bruin,Double,"5,50%",Brasserie Cornelissen pour Brasserie Kerkom,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bink Bloesem,Blonde,"7,1 %",Brasserie Cornelissen pour Brasserie Kerkom,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Biolégère,"Bio, Saison","3,5 %",Brasserie Dupont,Brasserie Dupont,Leuze-en-Hainaut,Hainaut,"Moinette, Saison Dupont",18 000,"50° 34′ 18,98″ N, 3° 39′ 02,29″ E"
Bitter Sweet Symphony,"Double, IPA","7,8 %",Brasserie 't Gaverhopke,Brasserie 't Gaverhopke,Harelbeke,Flandre-Occidentale,Gaverhopke,,
Bittere Waarheid,IPA,11 %,Brasserie Het Alternatief par la Brasserie De Graal,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Black,"Brune, Fermentation haute","6,3 %",Brasserie de Bellevaux,Brasserie de Bellevaux,Malmedy,Liège,Bellevaux,,"50° 23′ 31″ N, 6° 00′ 26″ E"
Black Albert,Stout,13 %,Brasserie Deca pour la De Struise Brouwers,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Black Damnation I,Stout,13%,Brasserie Deca pour la De Struise Brouwers,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Black Damnation II (Mocha Bomb),Stout,12%,Brasserie Deca pour la De Struise Brouwers,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Black Damnation III (Black Mes),Stout,13 %,Brasserie Deca pour la De Struise Brouwers,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Black Damnation IV (Coffée Club),Stout,13 %,Brasserie Deca pour la De Struise Brouwers,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Black Damnation V (Double Black),Stout,26 %,Brasserie Deca pour la De Struise Brouwers,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Black,"Brune, Ale","6,3 %",Brasserie de Bellevaux,Brasserie de Bellevaux,Malmedy,Liège,Bellevaux,,"50° 23′ 31″ N, 6° 00′ 26″ E"
Black Ghost,Fermentation haute,8 %,Brasserie Fantôme,Brasserie Fantôme,Érezée,Luxembourg,Fantôme,,"50° 17′ 09,91″ N, 5° 30′ 46,84″ E"
Black Hole,Pils,"5,6 %",Brasserie Roman,Brasserie Roman,Audenarde,Flandre-Orientale,"Adriaen Brouwer, Ename, Wieze Tripel",,
Black Jack,Porter,7 %,Brasserie Deca pour la De Struise Brouwers,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Blanche,Blanche,"4,8 %",Brasserie de Bellevaux,Brasserie de Bellevaux,Malmedy,Liège,Bellevaux,,"50° 23′ 31″ N, 6° 00′ 26″ E"
Blanche d'Ardenne,Blanche,"4,3 %",Brasserie du Bocq pour la Brasserie Corsendonk,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Blanche de Bouillon,Blanche,"5,5 %",Brasserie de Bouillon,Brasserie de Bouillon,Bouillon,Luxembourg,"La Médiévale, Cuvée de Bouillon",,"49° 49′ 30,47″ N, 5° 05′ 11,55″ E"
Blanche de Brabant,Blanche,5 %,Groupe John Martin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Blanche de Bruxelles,Blanche,"4,5 %",Brasserie Lefebvre,Brasserie Lefebvre,Rebecq,Brabant wallon,"Barbar, Blanche de Bruxelles, Floreffe",,"50° 40′ 28,61″ N, 4° 09′ 07,67″ E"
Blanche de Charleroi,Blanche,5 %,Brasserie du Val de Sambre,Brasserie du Val de Sambre,Thuin,Hainaut,"Abbaye d'Aulne, Blanche de Charleroi, Heylissem",,"50° 21′ 55,54″ N, 4° 19′ 52,82″ E"
Blanche de Namur,Blanche,"5,2 %",Brasserie du Bocq,Brasserie du Bocq,Yvoir,Namur,"Gauloise, Blanche de Namur, Triple Moine, Saison 1858",94 000,"50° 18′ 40,56″ N, 4° 56′ 37,23″ E"
Blanche de Namur Rosée,"Blanche, Fruitée","3,4 %",Brasserie du Bocq,Brasserie du Bocq,Yvoir,Namur,"Gauloise, Blanche de Namur, Triple Moine, Saison 1858",94 000,"50° 18′ 40,56″ N, 4° 56′ 37,23″ E"
Blanche de Saint-Job,Blanche,"4,5 %",Brasserie L'Imprimerie,Brasserie L'Imprimerie,Uccle,Bruxelles,"Blanche de Saint-Job, Ekla, Stout Vandenheuvel",,"50° 47′ 40,47″ N, 4° 21′ 52,94″ E"
Blanche de Tubize,Blanche,"4,8 %",Brasserie de Tubize,Brasserie de Tubize,Tubize,Brabant wallon,Bétchard,,"50° 41′ 54,64″ N, 4° 12′ 19,74″ E"
Blanche des Honnelles,Blanche,6 %,Brasserie de l'Abbaye des Rocs,Brasserie de l'abbaye des Rocs,Honnelles,Hainaut,Abbaye des Rocs,,"50° 22′ 13″ N, 3° 43′ 34″ E"
Blanche des Neiges,Blanche,5 %,Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Blanche des Saisis,Blanche,"6,2 %",Brasserie Ellezelloise,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Blanche du Hainaut Bio,"Blanche, Bio","5,5 %",Brasserie Dupont,Brasserie Dupont,Leuze-en-Hainaut,Hainaut,"Moinette, Saison Dupont",18 000,"50° 34′ 18,98″ N, 3° 39′ 02,29″ E"
Blanchette de Gaume,Blanche,5 %,Brasserie Millevertus,Brasserie Millevertus,Tintigny,Luxembourg,"Douce Vertus, Bella Mère, Mère Vertus",,"49° 41′ 43,01″ N, 5° 29′ 32,04″ E"
Blanchette de Lorraine,"Blanche, Fruitée",5 %,Brasserie Millevertus,Brasserie Millevertus,Tintigny,Luxembourg,"Douce Vertus, Bella Mère, Mère Vertus",,"49° 41′ 43,01″ N, 5° 29′ 32,04″ E"
BLAUW,Pils,"5,2 %",Brasserie Bockor,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Blauwersbier,,"6,5 %",Brasserie Van Eecke,Brasserie Van Eecke,Poperinge,Flandre-Occidentale,"Kapittel, Hommelbier",,
Bloemenbier,Ale,7 %,De Proefbrouwerij,De Proefbrouwerij,Lochristi,Flandre-Occidentale,bières à façon,,
Bière de la Bonde,Triple,10 %,Brasserie Van Eecke,Brasserie Van Eecke,Poperinge,Flandre-Occidentale,"Kapittel, Hommelbier",,
Bleeken Moriaen,Triple,10 %,Brasserie Van Eecke,Brasserie Van Eecke,Poperinge,Flandre-Occidentale,"Kapittel, Hommelbier",,
Blégny-Mine bière des Houyeux,,6 %,Brasserie de l'Abbaye du Val-Dieu,Brasserie de l'abbaye du Val-Dieu,Aubel,Liège,Val-Dieu,7 500,"50° 41′ 54″ N, 5° 48′ 16″ E"
Blonde,Blonde,7 %,Brasserie de Bellevaux,Brasserie de Bellevaux,Malmedy,Liège,Bellevaux,,"50° 23′ 31″ N, 6° 00′ 26″ E"
Blonde,"Blonde, Fermentation basse","1,2 %",Brasserie Haacht,Brasserie Haacht,Boortmeerbeek,Brabant flamand,"Charles Quint, Eupener Bier, Primus, Coq Hardi; Tongerlo",,
Blonde Bie,Blonde,8 %,Brasserie De Bie,Brasserie De Bie,Dentergem,Flandre-Occidentale,"Bie, De Bie, Hellekapelle",,
Blonde de Brabant,Blonde,6 %,Groupe John Martin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Blonde de Noël,Blonde,10 %,Brasserie Caulier,Brasserie Caulier,Péruwelz,Hainaut,Bon Secours,5 000,"50° 30′ 09,27″ N, 3° 35′ 19,52″ E"
La Blonde du Domaine des Grottes de Han,Blonde,6.5 %,Brasserie Du Bocq,Brasserie du Bocq,Yvoir,Namur,"Gauloise, Blanche de Namur, Triple Moine, Saison 1858",94 000,"50° 18′ 40,56″ N, 4° 56′ 37,23″ E"
Blondelle,Blonde,7 %,'t Hofbrouwerijke,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Blondine,Blonde,8 %,Brasserie Van Steenberge pour Hopduvel Gent,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Blondine IPA,IPA,8 %,Brasserie De Graal pour Hopduvel Gent,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bobeline black label,Brune,"8,5 %",Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Bobeline blanche fraise,Blanche,"3,6 %",Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Bobeline blonde,Blonde,"8,5 %",Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Bock Leroy,Bière de table,"1,8 %",Brasserie Het Sas,Brasserie Het Sas,Ypres,Flandre-Occidentale,"Sas Pils, Paulus,Yperman",,
Bock Pils,Pils,"5,2 %",Brasserie Palm,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bockor Pils,"Fermentation basse, Pils","5,2 %",Brasserie Bockor,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bocq Christmas,Bière de Noël,"8,1 %",Brasserie du Bocq,Brasserie du Bocq,Yvoir,Namur,"Gauloise, Blanche de Namur, Triple Moine, Saison 1858",94 000,"50° 18′ 40,56″ N, 4° 56′ 37,23″ E"
Boembeke Luiwerk,Blonde,"6,5 %",Brasserie De Graal,Brasserie De Graal,Brakel,Flandre-Orientale,De Graal,,
Boerinneken,"Fermentation haute, Blonde","9,5 %",De Proefbrouwerij pour Den Ouden Advokaat,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Boerke Blond,Blonde,"6,8 %",Brasserie Angerik,Brasserie Angerik,Dilbeek,Brabant flamand,Dilleke,,"50° 51′ 00,93″ N, 4° 14′ 45,36″ E"
Boerke Bruin,Brune,"6,8 %",Brasserie Angerik,Brasserie Angerik,Dilbeek,Brabant flamand,Dilleke,,"50° 51′ 00,93″ N, 4° 14′ 45,36″ E"
Boerke Krieken,Fruitée,"6,5 %",Brasserie Angerik,Brasserie Angerik,Dilbeek,Brabant flamand,Dilleke,,"50° 51′ 00,93″ N, 4° 14′ 45,36″ E"
Boerken,"Fermentation haute, Brune","9,5 %",De Proefbrouwerij pour Den Ouden Advokaat,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bokkereyer,Fermentation basse,6 %,Brasserie Cornelissen,Brasserie Cornelissen,Brée,Limbourg,"Ops-Ale, Pax Pils, Herkenrode, Sint-Gummarus",,
Bolleville Calvados Barrel OA,,10 %,Brasserie Alvinne,Brasserie Alvinne,Zwevegem,Flandre-Occidentale,Alvinne,,"50° 46′ 17,18″ N, 3° 23′ 24,7″ E"
Bokrijks,"Blonde, Abbaye","7,2 %",Brasserie du Bocq,Brasserie du Bocq,Yvoir,Namur,"Gauloise, Blanche de Namur, Triple Moine, Saison 1858",94 000,"50° 18′ 40,56″ N, 4° 56′ 37,23″ E"
Bon Homme,"Fermentation haute, Brune","6,5 %",Brasserie De Leite,Brasserie De Leite,Oostkamp,Flandre-Occidentale,"Femme Fatale, Bon Homme",,
Bon Secours Ambrée,"Fermentation haute, Ambrée",8 %,Brasserie Caulier,Brasserie Caulier,Péruwelz,Hainaut,Bon Secours,5 000,"50° 30′ 09,27″ N, 3° 35′ 19,52″ E"
Bon Secours Blonde,"Fermentation haute, Blonde",8 %,Brasserie Caulier,Brasserie Caulier,Péruwelz,Hainaut,Bon Secours,5 000,"50° 30′ 09,27″ N, 3° 35′ 19,52″ E"
Bon Secours Brune,"Fermentation haute, Brune",8 %,Brasserie Caulier,Brasserie Caulier,Péruwelz,Hainaut,Bon Secours,5 000,"50° 30′ 09,27″ N, 3° 35′ 19,52″ E"
Bon Secours Framboise,"Fermentation haute, Fruitée",7 %,Brasserie Caulier,Brasserie Caulier,Péruwelz,Hainaut,Bon Secours,5 000,"50° 30′ 09,27″ N, 3° 35′ 19,52″ E"
Bon Secours Myrtille,"Fermentation haute, Fruitée",7 %,Brasserie Caulier,Brasserie Caulier,Péruwelz,Hainaut,Bon Secours,5 000,"50° 30′ 09,27″ N, 3° 35′ 19,52″ E"
Bon Secours Noël,"Fermentation haute, Blonde, Bière de Noël",10 %,Brasserie Caulier,Brasserie Caulier,Péruwelz,Hainaut,Bon Secours,5 000,"50° 30′ 09,27″ N, 3° 35′ 19,52″ E"
Boneffe,Abbaye,9 %,Brasserie de Tubize,Brasserie de Tubize,Tubize,Brabant wallon,Bétchard,,"50° 41′ 54,64″ N, 4° 12′ 19,74″ E"
Bons vœux,Blonde,"9,5 %",Brasserie Dupont,Brasserie Dupont,Leuze-en-Hainaut,Hainaut,"Moinette, Saison Dupont",18 000,"50° 34′ 18,98″ N, 3° 39′ 02,29″ E"
Bornem Dubbel,Abbaye,8 %,Brasserie Van Steenberge,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bornem Tripel,Abbaye,9 %,Brasserie Van Steenberge,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bos bier,Fruitée,9 %,Brasserie DijkWaert,Brasserie Dijkwaert,Herentals,Anvers,Thals,,
Bosbier,"Fruitée, Pils",4 %,Brasserie Cornelissen,Brasserie Cornelissen,Brée,Limbourg,"Ops-Ale, Pax Pils, Herkenrode, Sint-Gummarus",,
Boscoli,Fruitée,"3,5 %",Brasserie Het Anker,Brasserie Het Anker,Malines,Anvers,"Anker, Gouden Carolus, Lucifer",,"51° 01′ 55″ N, 4° 28′ 23″ E"
Boskeun,Blonde,7 %,De Dolle Brouwers,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bosprotter,Triple,"8,5 %",'t Hofbrouwerijke,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
La Botteresse Ambrée,Fermentation haute,"8,5 %",Brasserie La Botteresse de Sur-les-Bois,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
La Botteresse de Noël,"Fermentation haute, Bière de Noël","10,5 %",Brasserie La Botteresse de Sur-les-Bois,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
La Botteresse Blonde,Fermentation haute,"7,5 %",Brasserie La Botteresse de Sur-les-Bois,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
La Botteresse Brune,Fermentation haute,"9,5 %",Brasserie La Botteresse de Sur-les-Bois,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
La Botteresse aux cerises,"Fermentation haute, Fruitée","5,5 %",Brasserie La Botteresse de Sur-les-Bois,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
La Botteresse Ambrée au miel,"Fermentation haute, Bière au miel","8,5 %",Brasserie La Botteresse de Sur-les-Bois,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
La Botteresse aux pommes,"Fermentation haute, Fruitée","5,4 %",Brasserie La Botteresse de Sur-les-Bois,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
La Bouillonnaise,"Brune, Fermentation haute",7 %,Brasserie de Bouillon,Brasserie de Bouillon,Bouillon,Luxembourg,"La Médiévale, Cuvée de Bouillon",,"49° 49′ 30,47″ N, 5° 05′ 11,55″ E"
Bourgogne des Flandres Blond,"Fermentation haute, Blonde",6 %,Brasserie Bourgogne des Flandres,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bourgogne des Flandres Bruin,Vieille brune,5 %,Brasserie Bourgogne des Flandres,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BR Blonde,Blonde,"6,2 %",Brasserie Demanez,Brasserie Demanez,Sainte-Ode,Luxembourg,B.R.,80,
La Brabançonne Ambrée,Ambrée,"7,5 %",Brasserie du Brabant,Brasserie du Brabant,Genappe,Brabant wallon,La Brabançonne,,"50° 35′ 00,96″ N, 4° 27′ 08,31″ E"
La Brabançonne Blonde au Miel,Blonde,"6,5 %",Brasserie du Brabant,Brasserie du Brabant,Genappe,Brabant wallon,La Brabançonne,,"50° 35′ 00,96″ N, 4° 27′ 08,31″ E"
La Brabançonne Brune,Brune,"9,1 %",Brasserie du Brabant,Brasserie du Brabant,Genappe,Brabant wallon,La Brabançonne,,"50° 35′ 00,96″ N, 4° 27′ 08,31″ E"
Brasserie des Rocs Triple Impériale,,10 %,Brasserie de l'Abbaye des Rocs,Brasserie de l'abbaye des Rocs,Honnelles,Hainaut,Abbaye des Rocs,,"50° 22′ 13″ N, 3° 43′ 34″ E"
Brave Broeder,Fermentation haute (Bière-étiquette),5 %,Brasserie de Silly,Brasserie de Silly,Silly,Hainaut,"Abbaye de Forest, Double Enghien, Pink Killer, Silly Pils",,"50° 38′ 58,23″ N, 3° 55′ 30,25″ E"
Bravoure,"Fermentation haute, Rauchbier, Ambrée","6,5 %",Brasserie De Dochter van de Korenaar,Brasserie De Dochter van de Korenaar,Baerle-Duc,Anvers,"Noblesse, Finesse, Bravoure, Courage",,
Bremserbière,Ambrée,6 %,Huisbrouwerij de 3 vaten,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brice,Blonde,"7,5 %",Brasserie Grain d'Orge,Brasserie Grain d'Orge,Plombières,Liège,"Brice, Joup",1 360,"50° 43′ 26,28″ N, 5° 55′ 10,46″ E"
Briekebakker,Triple,"8,7 %",Brasserie Alvinne,Brasserie Alvinne,Zwevegem,Flandre-Occidentale,Alvinne,,"50° 46′ 17,18″ N, 3° 23′ 24,7″ E"
Brigand,Blonde,9 %,Brasserie Van Honsebrouck,Brasserie Van Honsebrouck,Ingelmunster,Flandre-Occidentale,"Kasteel, St-Louis, Brigand, Bacchus",,
Brigand IPA,IPA,"6,5 %",Brasserie Van Honsebrouck,Brasserie Van Honsebrouck,Ingelmunster,Flandre-Occidentale,"Kasteel, St-Louis, Brigand, Bacchus",,
Broeder Jacob Formidabel,blonde,"5,5 %",Brasserie Broeder Jacob,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Broeder Jacob Bruin,Brune,"7,5 %",Brasserie Broeder Jacob,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Broeder Jacob Tripel,Triple,"7,5 %",Brasserie Broeder Jacob,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
